RealType	NoiseType	Noise	Signal	Order	Freq	Test	UncertaintyMean	UncertaintyDev	UncertaintyMin	UncertaintyMax	ErrorMean	ErrorDev	ErrorMin	ErrorMax	-3.0	-2.8	-2.6	-2.4	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
Intv	Uniform	0.0e+00	Sin	4	7	Backward	3.967e-15	7.448e-16	2.094e-15	4.667e-15	2.982e-19	1.966e-02	-5.470e-02	5.470e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Sin	4	7	Roundtrip	6.111e-16	2.606e-16	1.500e-323	1.110e-15	-4.337e-19	7.383e-02	-1.404e-01	1.404e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.875	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Cos	4	7	Forward	2.512e-15	1.752e-15	1.500e-322	5.163e-15	8.791e-03	5.686e-02	-1.069e-01	1.178e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.813	0.156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Cos	4	7	Backward	3.870e-15	6.925e-16	2.219e-15	4.598e-15	-3.253e-19	1.932e-02	-5.546e-02	5.546e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Cos	4	7	Roundtrip	6.111e-16	2.606e-16	1.500e-323	1.110e-15	-8.674e-19	7.383e-02	-1.404e-01	1.404e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.875	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Slope	4	0	Forward	1.997e-05	2.589e-06	1.600e-05	2.227e-05	-3.001e-02	1.699e-01	-3.827e-01	2.379e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0938	0.250	0.438	0.219	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Slope	4	0	Backward	2.533e-05	3.468e-06	1.997e-05	2.839e-05	-1.892e-04	3.299e-02	-5.521e-02	8.195e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Slope	4	0	Roundtrip	1.248e-06	1.618e-07	1.000e-06	1.392e-06	4.259e-02	2.339e-01	-3.263e-01	6.636e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.250	0.406	0.125	0.156	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Slope	4	0	Forward	1.997e-05	2.589e-06	1.600e-05	2.227e-05	-2.167e-02	1.992e-01	-4.042e-01	4.074e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0938	0.281	0.344	0.250	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Slope	4	0	Backward	2.533e-05	3.468e-06	1.997e-05	2.839e-05	-1.081e-02	3.723e-02	-8.122e-02	6.803e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Slope	4	0	Roundtrip	1.248e-06	1.618e-07	1.000e-06	1.392e-06	-7.342e-04	1.950e-01	-4.749e-01	4.971e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.188	0.406	0.313	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Sin	4	7	Forward	1.997e-05	2.589e-06	1.600e-05	2.227e-05	-5.845e-02	2.074e-01	-4.350e-01	3.855e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.125	0.344	0.344	0.125	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Sin	4	7	Backward	2.533e-05	3.468e-06	1.997e-05	2.839e-05	1.137e-03	4.614e-02	-1.379e-01	1.087e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.938	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Sin	4	7	Roundtrip	1.248e-06	1.618e-07	1.000e-06	1.392e-06	-1.927e-02	1.799e-01	-3.005e-01	4.371e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.344	0.344	0.219	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Cos	4	7	Forward	1.997e-05	2.589e-06	1.600e-05	2.227e-05	-4.724e-04	1.650e-01	-3.227e-01	3.596e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.281	0.406	0.219	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Cos	4	7	Backward	2.533e-05	3.468e-06	1.997e-05	2.839e-05	3.192e-03	3.232e-02	-8.492e-02	9.500e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-06	Cos	4	7	Roundtrip	1.248e-06	1.618e-07	1.000e-06	1.392e-06	-2.352e-02	2.125e-01	-4.710e-01	4.345e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.156	0.156	0.438	0.188	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
