2n	Momentum	Exponent	Input Uncertainty	Term	Variance
14	1.283879e+05	-2.000000e+00	1.950000e-01	8.215332e+07	9.442994e-03
14	1.283879e+05	-1.500000e+00	2.000000e-01	1.405836e+07	2.303322e-03
14	1.283879e+05	-1.500000e+00	1.950000e-01	1.405836e+07	1.615918e-03
14	1.283879e+05	-1.000000e+00	2.000000e-01	1.639976e+06	2.686937e-04
14	1.283879e+05	-1.000000e+00	1.950000e-01	1.639976e+06	1.885046e-04
14	1.283879e+05	-5.000000e-01	2.000000e-01	8.837647e+04	1.447960e-05
14	1.283879e+05	-5.000000e-01	1.950000e-01	8.837647e+04	1.015830e-05
14	1.283879e+05	5.000000e-01	2.000000e-01	1.400594e+03	2.294733e-07
14	1.283879e+05	5.000000e-01	1.950000e-01	1.400594e+03	1.609892e-07
14	1.283879e+05	1.500000e+00	2.000000e-01	-1.784568e+02	-2.923836e-08
14	1.283879e+05	1.500000e+00	1.950000e-01	-1.784568e+02	-2.051245e-08

16	1.835075e+06	-2.000000e+00	2.000000e-01	1.697231e+09	1.112297e-02
16	1.835075e+06	-2.000000e+00	1.950000e-01	1.697231e+09	7.418133e-03
16	1.835075e+06	-1.500000e+00	2.000000e-01	2.606989e+08	1.708516e-03
16	1.835075e+06	-1.500000e+00	1.950000e-01	2.606989e+08	1.139444e-03
16	1.835075e+06	-1.000000e+00	2.000000e-01	2.716939e+07	1.780573e-04
16	1.835075e+06	-1.000000e+00	1.950000e-01	2.716939e+07	1.187500e-04
16	1.835075e+06	-5.000000e-01	2.000000e-01	1.302824e+06	8.538185e-06
16	1.835075e+06	-5.000000e-01	1.950000e-01	1.302824e+06	5.694288e-06
16	1.835075e+06	5.000000e-01	2.000000e-01	1.636739e+04	1.072653e-07
16	1.835075e+06	5.000000e-01	1.950000e-01	1.636739e+04	7.153740e-08
16	1.835075e+06	1.500000e+00	2.000000e-01	-1.779829e+03	-1.166429e-08
16	1.835075e+06	1.500000e+00	1.950000e-01	-1.779829e+03	-7.779147e-09

18	2.892768e+07	-2.000000e+00	2.000000e-01	3.708250e+10	9.720956e-03
18	2.892768e+07	-2.000000e+00	1.950000e-01	3.708250e+10	6.162998e-03
18	2.892768e+07	-1.500000e+00	2.000000e-01	5.167548e+09	1.354642e-03
18	2.892768e+07	-1.500000e+00	1.950000e-01	5.167548e+09	8.588306e-04
18	2.892768e+07	-1.000000e+00	2.000000e-01	4.868297e+08	1.276195e-04
18	2.892768e+07	-1.000000e+00	1.950000e-01	4.868297e+08	8.090960e-05
18	2.892768e+07	-5.000000e-01	2.000000e-01	2.104532e+07	5.516905e-06
18	2.892768e+07	-5.000000e-01	1.950000e-01	2.104532e+07	3.497668e-06
18	2.892768e+07	5.000000e-01	2.000000e-01	2.159923e+05	5.662109e-08
18	2.892768e+07	5.000000e-01	1.950000e-01	2.159923e+05	3.589726e-08
18	2.892768e+07	1.500000e+00	2.000000e-01	-2.050303e+04	-5.374747e-09
18	2.892768e+07	1.500000e+00	1.950000e-01	-2.050303e+04	-3.407541e-09

20	4.929112e+08	-2.000000e+00	2.000000e-01	8.472509e+11	8.884070e-03
20	4.929112e+08	-2.000000e+00	1.950000e-01	8.472509e+11	5.354319e-03
20	4.929112e+08	-1.500000e+00	2.000000e-01	1.080505e+11	1.132991e-03
20	4.929112e+08	-1.500000e+00	1.950000e-01	1.080505e+11	6.828398e-04
20	4.929112e+08	-1.000000e+00	2.000000e-01	9.289596e+09	9.740847e-05
20	4.929112e+08	-1.000000e+00	1.950000e-01	9.289596e+09	5.870689e-05
20	4.929112e+08	-5.000000e-01	2.000000e-01	3.658072e+08	3.835767e-06
20	4.929112e+08	-5.000000e-01	1.950000e-01	3.658072e+08	2.311769e-06
20	4.929112e+08	5.000000e-01	2.000000e-01	3.139121e+06	3.291607e-08
20	4.929112e+08	5.000000e-01	1.950000e-01	3.139121e+06	1.983811e-08
20	4.929112e+08	1.500000e+00	2.000000e-01	-2.645393e+05	-2.773896e-09
20	4.929112e+08	1.500000e+00	1.950000e-01	-2.645393e+05	-1.671793e-09

22	8.933267e+09	-2.000000e+00	2.000000e-01	2.004409e+13	8.407103e-03
22	8.933267e+09	-2.000000e+00	1.950000e-01	2.004409e+13	4.816681e-03
22	8.933267e+09	-1.500000e+00	2.000000e-01	2.356415e+12	9.883520e-04
22	8.933267e+09	-1.500000e+00	1.950000e-01	2.356415e+12	5.662565e-04
22	8.933267e+09	-1.000000e+00	2.000000e-01	1.863383e+11	7.815596e-05
22	8.933267e+09	-1.000000e+00	1.950000e-01	1.863383e+11	4.477789e-05
22	8.933267e+09	-5.000000e-01	2.000000e-01	6.740675e+09	2.827244e-06
22	8.933267e+09	-5.000000e-01	1.950000e-01	6.740675e+09	1.619813e-06
22	8.933267e+09	5.000000e-01	2.000000e-01	4.926564e+07	2.066351e-08
22	8.933267e+09	5.000000e-01	1.950000e-01	4.926564e+07	1.183874e-08
22	8.933267e+09	1.500000e+00	2.000000e-01	-3.734278e+06	-1.566270e-09
22	8.933267e+09	1.500000e+00	1.950000e-01	-3.734278e+06	-8.973628e-10

24	1.700184e+11	-2.000000e+00	2.000000e-01	4.870285e+14	8.170982e-03
24	1.700184e+11	-2.000000e+00	1.950000e-01	4.870285e+14	4.450256e-03
24	1.700184e+11	-1.500000e+00	2.000000e-01	5.310552e+13	8.909627e-04
24	1.700184e+11	-1.500000e+00	1.950000e-01	5.310552e+13	4.852553e-04
24	1.700184e+11	-1.000000e+00	2.000000e-01	3.888005e+12	6.522990e-05
24	1.700184e+11	-1.000000e+00	1.950000e-01	3.888005e+12	3.552692e-05
24	1.700184e+11	-5.000000e-01	2.000000e-01	1.301135e+11	2.182942e-06
24	1.700184e+11	-5.000000e-01	1.950000e-01	1.301135e+11	1.188921e-06
24	1.700184e+11	5.000000e-01	2.000000e-01	8.221783e+08	1.379386e-08
24	1.700184e+11	5.000000e-01	1.950000e-01	8.221783e+08	7.512711e-09
24	1.700184e+11	1.500000e+00	2.000000e-01	-5.664252e+07	-9.503039e-10
24	1.700184e+11	1.500000e+00	1.950000e-01	-5.664252e+07	-5.175750e-10

26	3.364293e+12	-2.000000e+00	2.000000e-01	1.207543e+16	8.103684e-03
26	3.364293e+12	-2.000000e+00	1.950000e-01	1.207543e+16	4.195682e-03
26	3.364293e+12	-1.500000e+00	2.000000e-01	1.227719e+15	8.239082e-04
26	3.364293e+12	-1.500000e+00	1.950000e-01	1.227719e+15	4.265784e-04
26	3.364293e+12	-1.000000e+00	2.000000e-01	8.368682e+13	5.616128e-05
26	3.364293e+12	-1.000000e+00	1.950000e-01	8.368682e+13	2.907749e-05
26	3.364293e+12	-5.000000e-01	2.000000e-01	2.606284e+12	1.749047e-06
26	3.364293e+12	-5.000000e-01	1.950000e-01	2.606284e+12	9.055691e-07
26	3.364293e+12	5.000000e-01	2.000000e-01	1.441700e+10	9.675082e-09
26	3.364293e+12	5.000000e-01	1.950000e-01	1.441700e+10	5.009273e-09
26	3.364293e+12	1.500000e+00	2.000000e-01	-9.104804e+08	-6.110131e-10
