X	Edge	Bias	Value	Uncertainty	Exception
-7.000000000000000e-01	2.002900000000000e-01	2.687704875741503e-02	1.026877048757415e+00	1.642862822654044e-01	Type.NotMonotonicException
-6.500000000000000e-01	2.003300000000000e-01	2.413367696844460e-02	1.024133676968445e+00	1.510732747712408e-01	Type.NotMonotonicException
-6.000000000000000e-01	2.003700000000000e-01	2.152422987753133e-02	1.021524229877531e+00	1.381936753041365e-01	Type.NotMonotonicException
-5.500000000000000e-01	2.004200000000000e-01	1.904882535854768e-02	1.019048825358548e+00	1.256159487126257e-01	Type.NotMonotonicException
-5.000000000000000e-01	2.004600000000000e-01	1.670090163723392e-02	1.016700901637234e+00	1.132845413034869e-01	Type.NotMonotonicException
-4.500000000000000e-01	2.005000000000000e-01	1.448106392473014e-02	1.014481063924730e+00	1.011855948706766e-01	Type.NotMonotonicException
-4.000000000000000e-01	2.005400000000000e-01	1.238754117157082e-02	1.012387541171571e+00	8.929739641063307e-02	Type.NotMonotonicException
-3.500000000000000e-01	2.005900000000000e-01	1.041980399763576e-02	1.010419803997636e+00	7.760689459211743e-02	Type.NotMonotonicException
-3.000000000000000e-01	2.006300000000000e-01	8.573717391236135e-03	1.008573717391236e+00	6.608715141298165e-02	Type.NotMonotonicException
-2.500000000000000e-01	2.006700000000000e-01	6.849132794164436e-03	1.006849132794164e+00	5.473059558190279e-02	Type.NotMonotonicException
-2.000000000000000e-01	2.007100000000000e-01	5.244589666967725e-03	1.005244589666968e+00	4.352491851112437e-02	Type.NotMonotonicException
-1.500000000000000e-01	2.007500000000000e-01	3.758697038378944e-03	1.003758697038379e+00	3.245894737001841e-02	Type.NotMonotonicException
-1.000000000000000e-01	2.007800000000000e-01	2.389871218619666e-03	1.002389871218620e+00	2.152113587445130e-02	Type.NotMonotonicException
-5.000000000000000e-02	2.008200000000000e-01	1.137508006885390e-03	1.001137508006885e+00	1.070512090990948e-02	Type.NotMonotonicException
5.000000000000000e-02	2.008900000000000e-01	-1.023680597080801e-03	9.989763194029192e-01	1.060208067529260e-02	Type.NotMonotonicException
1.000000000000000e-01	2.009300000000000e-01	-1.934736276592020e-03	9.980652637234080e-01	2.110976602833670e-02	Type.NotMonotonicException
1.500000000000000e-01	2.009600000000000e-01	-2.733899335471413e-03	9.972661006645286e-01	3.152896909548598e-02	Type.NotMonotonicException
2.000000000000000e-01	2.009900000000000e-01	-3.422286053288981e-03	9.965777139467110e-01	4.186766410724812e-02	Type.NotMonotonicException
2.500000000000000e-01	2.010200000000000e-01	-4.000849175979648e-03	9.959991508240204e-01	5.213292897483517e-02	Type.NotMonotonicException
3.000000000000000e-01	2.010500000000000e-01	-4.470489336558137e-03	9.955295106634419e-01	6.233157503887885e-02	Type.NotMonotonicException
3.500000000000000e-01	2.010800000000000e-01	-4.832056531716256e-03	9.951679434682837e-01	7.247017282582927e-02	Type.NotMonotonicException
4.000000000000000e-01	2.011000000000000e-01	-5.085818589863678e-03	9.949141814101363e-01	8.255072318906863e-02	Type.NotMonotonicException
4.500000000000000e-01	2.011300000000000e-01	-5.233580276502337e-03	9.947664197234977e-01	9.258758735579446e-02	Type.NotMonotonicException
5.000000000000000e-01	2.011500000000000e-01	-5.274990108005140e-03	9.947250098919949e-01	1.025775545405501e-01	Type.NotMonotonicException
5.500000000000000e-01	2.011800000000000e-01	-5.211815545450471e-03	9.947881844545495e-01	1.125366035324920e-01	Type.NotMonotonicException
6.000000000000000e-01	2.012000000000000e-01	-5.043602937231606e-03	9.949563970627684e-01	1.224592539249774e-01	Type.NotMonotonicException
6.500000000000000e-01	2.012200000000000e-01	-4.771505934000664e-03	9.952284940659993e-01	1.323563518041170e-01	Type.NotMonotonicException
7.000000000000000e-01	2.012500000000000e-01	-4.396538788181359e-03	9.956034612118186e-01	1.422405002792429e-01	Type.NotMonotonicException
7.500000000000000e-01	2.012700000000000e-01	-3.918263854488235e-03	9.960817361455118e-01	1.521029847836311e-01	Type.NotMonotonicException
8.000000000000000e-01	2.012900000000000e-01	-3.337652144577152e-03	9.966623478554228e-01	1.619557058501211e-01	Type.NotMonotonicException
8.500000000000000e-01	2.013200000000000e-01	-2.655413009323926e-03	9.973445869906761e-01	1.718123169214326e-01	Type.NotMonotonicException
9.000000000000000e-01	2.013400000000000e-01	-1.871320201407900e-03	9.981286797985921e-01	1.816610090982619e-01	Type.NotMonotonicException
9.500000000000000e-01	2.013600000000000e-01	-9.860754563921770e-04	9.990139245436078e-01	1.915147913267003e-01	Type.NotMonotonicException
1.050000000000000e+00	2.014100000000000e-01	1.086732666102819e-03	1.001086732666103e+00	2.112671467558533e-01	Type.NotMonotonicException
1.100000000000000e+00	2.014300000000000e-01	2.273774931412786e-03	1.002273774931413e+00	2.211650749567079e-01	Type.NotMonotonicException
1.150000000000000e+00	2.014500000000000e-01	3.560915873500159e-03	1.003560915873500e+00	2.310868140058716e-01	Type.NotMonotonicException
1.200000000000000e+00	2.014700000000000e-01	4.947980189301537e-03	1.004947980189302e+00	2.410368946445950e-01	Type.NotMonotonicException
1.250000000000000e+00	2.015000000000000e-01	6.435476326082767e-03	1.006435476326083e+00	2.510321697668594e-01	Type.NotMonotonicException
1.300000000000000e+00	2.015200000000000e-01	8.022159993651190e-03	1.008022159993651e+00	2.610528286567131e-01	Type.NotMonotonicException
1.350000000000000e+00	2.015400000000000e-01	9.708459286865923e-03	1.009708459286866e+00	2.711151634942024e-01	Type.NotMonotonicException
