s	(2n-1)!!	0.100000	0.200000	0.300000	0.400000	0.500000	0.600000	0.700000	0.800000	0.900000	1.000000	1.100000	1.200000	1.300000	1.400000	1.500000	1.600000	1.700000	1.800000	1.900000	2.000000	2.100000	2.200000	2.300000	2.400000	2.500000	2.600000	2.700000	2.800000	2.900000	3.000000	3.100000	3.200000	3.300000	3.400000	3.500000	3.600000	3.700000	3.800000	3.900000	4.000000	4.100000	4.200000	4.300000	4.400000	4.500000	4.600000	4.700000	4.800000	4.900000	5.000000	5.100000	5.200000	5.300000	5.400000	5.500000	5.600000	5.700000	5.800000	5.900000	6.000000	6.100000	6.200000	6.300000	6.400000	6.500000	6.600000	6.700000	6.800000	6.900000	7.000000	7.100000	7.200000	7.300000	7.400000	7.500000	7.600000	7.700000	7.800000	7.900000	8.000000	
20	6.547291e+08	2.454057e-21	1.695369e-15	7.183219e-13	4.263926e-10	1.616391e-08	1.060599e-06	2.335730e-05	3.013052e-04	3.599138e-03	2.408840e-02	1.844118e-01	9.950464e-01	4.596456e+00	1.985543e+01	6.813503e+01	2.428886e+02	7.338551e+02	2.057122e+03	5.487343e+03	1.301050e+04	3.098460e+04	6.722810e+04	1.392143e+05	2.774541e+05	5.160730e+05	9.505340e+05	1.652249e+06	2.777236e+06	4.527302e+06	7.061878e+06	1.084189e+07	1.601847e+07	2.305812e+07	3.237340e+07	4.411469e+07	5.906298e+07	7.700739e+07	9.833567e+07	1.230640e+08	1.508161e+08	1.817680e+08	2.150329e+08	2.502667e+08	2.867568e+08	3.237772e+08	3.605760e+08	3.964923e+08	4.308462e+08	4.630524e+08	4.929036e+08	5.196701e+08	5.436362e+08	5.645341e+08	5.824386e+08	5.977164e+08	6.101827e+08	6.204987e+08	6.287566e+08	6.352685e+08	6.404133e+08	6.442586e+08	6.472161e+08	6.494009e+08	6.509954e+08	6.521668e+08	6.529728e+08	6.535515e+08	6.539477e+08	6.542164e+08	6.544006e+08	6.545177e+08	6.545965e+08	6.546467e+08	6.546784e+08	6.546987e+08	6.547107e+08	6.547183e+08	6.547228e+08	6.547254e+08	6.547262e+08	
22	1.374931e+10	3.500841e-23	9.632184e-17	6.397305e-14	7.334451e-11	3.686354e-09	3.727204e-07	1.120604e-05	1.799451e-04	2.779045e-03	2.191485e-02	2.081093e-01	1.330235e+00	7.125456e+00	3.595116e+01	1.387978e+02	5.692624e+02	1.933409e+03	6.044504e+03	1.800296e+04	4.676592e+04	1.233930e+05	2.926704e+05	6.599581e+05	1.431476e+06	2.866585e+06	5.717426e+06	1.067206e+07	1.921744e+07	3.352222e+07	5.558203e+07	9.095978e+07	1.424627e+08	2.170005e+08	3.219358e+08	4.615559e+08	6.507324e+08	8.900371e+08	1.190323e+09	1.557640e+09	1.989955e+09	2.499128e+09	3.071979e+09	3.708613e+09	4.399791e+09	5.131416e+09	5.894786e+09	6.670727e+09	7.445654e+09	8.203376e+09	8.933129e+09	9.616674e+09	1.025143e+10	1.082705e+10	1.133932e+10	1.179198e+10	1.217630e+10	1.250503e+10	1.277778e+10	1.300045e+10	1.318211e+10	1.332292e+10	1.343455e+10	1.351979e+10	1.358400e+10	1.363260e+10	1.366719e+10	1.369272e+10	1.371075e+10	1.372334e+10	1.373221e+10	1.373803e+10	1.374205e+10	1.374468e+10	1.374639e+10	1.374752e+10	1.374820e+10	1.374864e+10	1.374891e+10	1.374907e+10	1.374912e+10	
24	3.162341e+11	5.032226e-25	5.524422e-18	5.742814e-15	1.276291e-11	8.472288e-10	1.323265e-07	5.456542e-06	1.084291e-04	2.170723e-03	2.010015e-02	2.372146e-01	1.797924e+00	1.114843e+01	6.578389e+01	2.852641e+02	1.347807e+03	5.147358e+03	1.793931e+04	5.970774e+04	1.697981e+05	4.968712e+05	1.288654e+06	3.164464e+06	7.475496e+06	1.611304e+07	3.483436e+07	6.985207e+07	1.348061e+08	2.518285e+08	4.439302e+08	7.752179e+08	1.287986e+09	2.077599e+09	3.260398e+09	4.921340e+09	7.316404e+09	1.050940e+10	1.473875e+10	2.019743e+10	2.693404e+10	3.531273e+10	4.518168e+10	5.668824e+10	6.978496e+10	8.424751e+10	1.000870e+11	1.168559e+11	1.343400e+11	1.521723e+11	1.700158e+11	1.874751e+11	2.042914e+11	2.201493e+11	2.348094e+11	2.482234e+11	2.600736e+11	2.705509e+11	2.795614e+11	2.871766e+11	2.935918e+11	2.987491e+11	3.029631e+11	3.062891e+11	3.088757e+11	3.108923e+11	3.123766e+11	3.135033e+11	3.143235e+11	3.149134e+11	3.153408e+11	3.156301e+11	3.158350e+11	3.159732e+11	3.160654e+11	3.161277e+11	3.161667e+11	3.161925e+11	3.162086e+11	3.162187e+11	3.162216e+11	
26	7.905854e+12	7.280128e-27	3.192242e-19	5.189703e-16	2.241929e-12	1.959917e-10	4.738448e-08	2.692316e-06	6.583032e-05	1.712655e-03	1.856238e-02	2.727175e-01	2.453608e+00	1.757960e+01	1.214707e+02	5.906621e+02	3.218769e+03	1.382738e+04	5.369058e+04	1.998517e+05	6.216795e+05	2.019439e+06	5.728376e+06	1.531779e+07	3.943552e+07	9.146080e+07	2.144997e+08	4.622343e+08	9.562848e+08	1.914397e+09	3.588146e+09	6.692126e+09	1.180084e+10	2.016963e+10	3.350986e+10	5.327656e+10	8.361140e+10	1.262369e+11	1.858269e+11	2.669854e+11	3.719922e+11	5.099100e+11	6.799980e+11	8.880279e+11	1.136280e+12	1.422243e+12	1.750981e+12	2.113489e+12	2.508064e+12	2.927855e+12	3.364241e+12	3.810275e+12	4.255900e+12	4.692855e+12	5.112501e+12	5.510075e+12	5.875521e+12	6.209529e+12	6.507240e+12	6.767734e+12	6.994317e+12	7.183225e+12	7.342333e+12	7.472132e+12	7.576339e+12	7.660028e+12	7.723731e+12	7.773456e+12	7.810781e+12	7.838428e+12	7.859019e+12	7.873402e+12	7.883855e+12	7.891104e+12	7.896080e+12	7.899529e+12	7.901749e+12	7.903256e+12	7.904226e+12	7.904844e+12	7.905023e+12	
28	2.134580e+14	1.059034e-28	1.855905e-20	4.716476e-17	3.968793e-13	4.559321e-11	1.709179e-08	1.344227e-06	4.022610e-05	1.363185e-03	1.724274e-02	3.158693e-01	3.377425e+00	2.790700e+01	2.260862e+02	1.230759e+03	7.744253e+03	3.743578e+04	1.618441e+05	6.742538e+05	2.292257e+06	8.272842e+06	2.567195e+07	7.474132e+07	2.098265e+08	5.234093e+08	1.332674e+09	3.086991e+09	6.847304e+09	1.469824e+10	2.928895e+10	5.838750e+10	1.093209e+11	1.980612e+11	3.486103e+11	5.839445e+11	9.683075e+11	1.537641e+12	2.377547e+12	3.584752e+12	5.222047e+12	7.492947e+12	1.042553e+13	1.418764e+13	1.889504e+13	2.455066e+13	3.137507e+13	3.921426e+13	4.812088e+13	5.800607e+13	6.868067e+13	8.007776e+13	9.188965e+13	1.039320e+14	1.159473e+14	1.277329e+14	1.390046e+14	1.496548e+14	1.594928e+14	1.684054e+14	1.764094e+14	1.833298e+14	1.893384e+14	1.944045e+14	1.986034e+14	2.020769e+14	2.048113e+14	2.070062e+14	2.087049e+14	2.100008e+14	2.109930e+14	2.117080e+14	2.122412e+14	2.126218e+14	2.128903e+14	2.130812e+14	2.132077e+14	2.132957e+14	2.133539e+14	2.133919e+14	2.134031e+14	
30	6.190283e+15	1.547935e-30	1.084515e-21	4.307343e-18	7.071203e-14	1.065769e-11	6.203613e-09	6.782947e-07	2.471786e-05	1.093478e-03	1.609797e-02	3.682298e-01	4.685494e+00	4.455934e+01	4.237683e+02	2.578483e+03	1.875352e+04	1.020538e+05	4.908783e+05	2.290553e+06	8.503106e+06	3.412286e+07	1.158632e+08	3.671899e+08	1.124705e+09	3.016168e+09	8.343136e+09	2.077830e+10	4.941755e+10	1.138024e+11	2.410606e+11	5.139981e+11	1.022151e+12	1.963580e+12	3.663600e+12	6.466487e+12	1.133860e+13	1.894690e+13	3.078951e+13	4.875452e+13	7.429148e+13	1.116948e+14	1.622775e+14	2.303324e+14	3.196273e+14	4.315089e+14	5.732140e+14	7.427890e+14	9.438824e+14	1.176726e+15	1.437893e+15	1.729169e+15	2.042341e+15	2.374288e+15	2.718390e+15	3.067818e+15	3.415534e+15	3.755203e+15	4.080354e+15	4.385352e+15	4.668132e+15	4.921691e+15	5.148644e+15	5.346396e+15	5.515621e+15	5.659804e+15	5.777185e+15	5.874085e+15	5.951409e+15	6.012162e+15	6.059970e+15	6.095520e+15	6.122726e+15	6.142705e+15	6.157191e+15	6.167762e+15	6.174975e+15	6.180115e+15	6.183601e+15	6.185944e+15	6.186640e+15	
32	1.918988e+17	2.272002e-32	6.365220e-23	3.950429e-19	1.266722e-14	2.501851e-12	2.263781e-09	3.455235e-07	1.526244e-05	8.831915e-04	1.509551e-02	4.317302e-01	6.546658e+00	7.151055e+01	7.992950e+02	5.427551e+03	4.567332e+04	2.799298e+05	1.496872e+06	7.829021e+06	3.170686e+07	1.415879e+08	5.261576e+08	1.814616e+09	6.067503e+09	1.748432e+10	5.257655e+10	1.408063e+11	3.590704e+11	8.875155e+11	1.998010e+12	4.559511e+12	9.632765e+12	1.962498e+13	3.883336e+13	7.222931e+13	1.340124e+14	2.357386e+14	4.027794e+14	6.702481e+14	1.068670e+15	1.684919e+15	2.557743e+15	3.789184e+15	5.483633e+15	7.697455e+15	1.064060e+16	1.430997e+16	1.885129e+16	2.433747e+16	3.072853e+16	3.817415e+16	4.647951e+16	5.563134e+16	6.548837e+16	7.585020e+16	8.657846e+16	9.741389e+16	1.081620e+17	1.186015e+17	1.285934e+17	1.378849e+17	1.464587e+17	1.541790e+17	1.610002e+17	1.669859e+17	1.720254e+17	1.763040e+17	1.798241e+17	1.826726e+17	1.849766e+17	1.867442e+17	1.881325e+17	1.891815e+17	1.899632e+17	1.905485e+17	1.909597e+17	1.912599e+17	1.914691e+17	1.916132e+17	1.916567e+17	
34	6.332660e+18	3.347066e-34	3.750070e-24	3.636632e-20	2.279660e-15	5.894931e-13	8.299457e-10	1.775048e-07	9.464327e-06	7.177305e-04	1.421042e-02	5.087533e-01	9.207267e+00	1.152782e+02	1.516130e+03	1.147201e+04	1.117999e+05	7.721267e+05	4.586138e+06	2.690527e+07	1.187686e+08	5.905956e+08	2.402520e+09	9.014017e+09	3.291855e+10	1.018772e+11	3.332339e+11	9.598461e+11	2.624341e+12	6.965136e+12	1.666050e+13	4.071329e+13	9.139814e+13	1.975048e+14	4.146682e+14	8.127278e+14	1.596514e+15	2.957341e+15	5.314316e+15	9.298297e+15	1.551625e+16	2.567259e+16	4.073956e+16	6.302858e+16	9.519385e+16	1.390098e+17	2.001522e+17	2.795778e+17	3.821586e+17	5.114599e+17	6.678877e+17	8.582502e+17	1.078567e+18	1.330932e+18	1.613361e+18	1.920679e+18	2.251737e+18	2.597461e+18	2.952807e+18	3.310198e+18	3.663313e+18	4.003832e+18	4.327795e+18	4.629236e+18	4.904236e+18	5.152759e+18	5.369148e+18	5.558096e+18	5.718359e+18	5.851937e+18	5.962987e+18	6.050881e+18	6.121737e+18	6.176820e+18	6.219009e+18	6.251421e+18	6.274867e+18	6.292399e+18	6.304946e+18	6.313818e+18	6.316536e+18	
36	2.216431e+20	4.946992e-36	2.216743e-25	3.358851e-21	4.118874e-16	1.393586e-13	3.055169e-10	9.187925e-08	5.891065e-06	5.864696e-04	1.342324e-02	6.022339e-01	1.302794e+01	1.865745e+02	2.890574e+03	2.433674e+04	2.749072e+05	2.140593e+06	1.411004e+07	9.291626e+07	4.466683e+08	2.475051e+09	1.102431e+10	4.498060e+10	1.794973e+11	5.962920e+11	2.122777e+12	6.577297e+12	1.927894e+13	5.496424e+13	1.396531e+14	3.656362e+14	8.723573e+14	1.999627e+15	4.456268e+15	9.202688e+15	1.914994e+16	3.736357e+16	7.063293e+16	1.300019e+17	2.270710e+17	3.945088e+17	6.547038e+17	1.058249e+18	1.669054e+18	2.536466e+18	3.806983e+18	5.526743e+18	7.844403e+18	1.089273e+19	1.472222e+19	1.959019e+19	2.543607e+19	3.239644e+19	4.049070e+19	4.960684e+19	5.982442e+19	7.085780e+19	8.260773e+19	9.484544e+19	1.073262e+20	1.198075e+20	1.320507e+20	1.438221e+20	1.549107e+20	1.652306e+20	1.745229e+20	1.828685e+20	1.901658e+20	1.964308e+20	2.017838e+20	2.061548e+20	2.097715e+20	2.126642e+20	2.149415e+20	2.167365e+20	2.180733e+20	2.190975e+20	2.198503e+20	2.203964e+20	2.205662e+20	
38	8.200795e+21	7.333137e-38	1.314257e-26	3.111461e-22	7.467578e-17	3.304261e-14	1.128699e-10	4.787833e-08	3.679214e-06	4.815698e-04	1.271861e-02	7.157849e-01	1.853823e+01	3.030415e+02	5.536699e+03	5.179622e+04	6.787347e+05	5.962204e+06	4.357449e+07	3.223071e+08	1.685804e+09	1.041589e+10	5.081181e+10	2.253638e+11	9.831860e+11	3.503992e+12	1.358352e+13	4.528069e+13	1.422672e+14	4.358686e+14	1.175983e+15	3.300332e+15	8.369754e+15	2.035141e+16	4.815840e+16	1.047753e+17	2.310702e+17	4.749715e+17	9.447465e+17	1.829861e+18	3.345664e+18	6.106912e+18	1.060207e+19	1.791037e+19	2.951346e+19	4.668951e+19	7.309687e+19	1.103458e+20	1.627218e+20	2.346084e+20	3.283761e+20	4.528849e+20	6.080397e+20	8.000464e+20	1.032079e+21	1.302541e+21	1.617942e+21	1.970135e+21	2.358722e+21	2.777846e+21	3.219039e+21	3.676587e+21	4.139363e+21	4.599108e+21	5.046301e+21	5.474880e+21	5.873968e+21	6.242633e+21	6.574947e+21	6.868823e+21	7.126879e+21	7.344278e+21	7.528911e+21	7.680837e+21	7.803776e+21	7.903192e+21	7.979421e+21	8.039258e+21	8.084425e+21	8.118044e+21	8.128656e+21	
