X	Edge	Bias	Value	Uncertainty	Exception
-3	0.19809	0.406410327216076	1.40641032721608	94.8665075575479	NotMonotonicException
-2.95	0.19813	0.385440491902443	1.38544049190244	80.0947332781147	NotMonotonicException
-2.9	0.19818	0.366342508133599	1.3663425081336	68.1046300035446	NotMonotonicException
-2.85	0.19823	0.34850417479664	1.34850417479664	57.8613933676951	NotMonotonicException
-2.8	0.19828	0.331793448551622	1.33179344855162	49.117551739466	NotMonotonicException
-2.75	0.19833	0.316094841654885	1.31609484165488	41.6597315576098	NotMonotonicException
-2.7	0.19838	0.301307304213104	1.3013073042131	35.3040899592853	NotMonotonicException
-2.65	0.19842	0.287175131402532	1.28717513140253	29.6629899161076	NotMonotonicException
-2.6	0.19847	0.273976860699141	1.27397686069914	25.0951527836542	NotMonotonicException
-2.55	0.19852	0.261452761787402	1.2614527617874	21.2124294582746	NotMonotonicException
-2.5	0.19857	0.249543670405877	1.24954367040588	17.9150659646273	NotMonotonicException
-2.45	0.19862	0.238197621593829	1.23819762159383	15.1174331881087	NotMonotonicException
-2.4	0.19866	0.227283824347136	1.22728382434714	12.6509398020075	NotMonotonicException
-2.35	0.19871	0.216942341404682	1.21694234140468	10.6584460329892	NotMonotonicException
-2.3	0.19876	0.207041138319824	1.20704113831982	8.97295454858184	NotMonotonicException
-2.25	0.19881	0.197549097525143	1.19754909752514	7.54871559964739	NotMonotonicException
-2.2	0.19886	0.188438689536883	1.18843868953688	6.34661757495976	NotMonotonicException
-2.15	0.19891	0.17968551328009	1.17968551328009	5.33325286624337	NotMonotonicException
-2.1	0.19896	0.171267896276567	1.17126789627657	4.48011104712141	NotMonotonicException
-2.05	0.199	0.163129373835805	1.16312937383581	3.73671787697149	NotMonotonicException
-2	0.19905	0.155330801712544	1.15533080171254	3.13925714097241	NotMonotonicException
-1.95	0.1991	0.147815428937308	1.14781542893731	2.6386274615678	NotMonotonicException
-1.9	0.19915	0.140569512468995	1.14056951246899	2.21994898105205	NotMonotonicException
-1.85	0.1992	0.133580689394669	1.13358068939467	1.87056901902932	NotMonotonicException
-1.8	0.19925	0.126837806158433	1.12683780615843	1.57972986852199	NotMonotonicException
-1.75	0.19929	0.120310275023891	1.12031027502389	1.3305464158739	NotMonotonicException
